project,abstract
การเพิ่มประสิทธิภาพในการควบคุมสต็อกบรรจุภัณฑ์ Emballage (EMB),การวิจัยเรื่อง “การเพิ่มประสิทธิภาพการควบคุมสต็อกบรรจุภัณฑ์” ในครั้งนี้มีวัตถุประสงค์เพื่อ 1) เพื่อเพิ่มประสิทธิภาพในการควบคุมสต็อกบรรจุภัณฑ์ Emballage และ 2) เพื่อปรับปรุงรูปแบบการจัดวางบรรจุภัณฑ์ Emballage วิธีดำเนินการวิจัยมีการเก็บรวบรวมข้อมูลด้วยตนเองจากการสัมภาษณ์และทำการสังเกตการทำงานของเจ้าหน้าที่ที่เกี่ยวข้อง รวมถึงสืบค้นจากงานวิจัย บทความวิจัย และบทความวิชาการต่างๆ ผลการวิจัยครั้งนี้พบว่า การจัดรูปแบบการวางบรรจุภัณฑ์ใหม่ ช่วยในเรื่องของการหยิบและการจัดเก็บบรรจุภัณฑ์ เนื่องจากมีรูปแบบการวางที่แน่นอนส่งผลให้พนักงานสามารถทำงานได้อย่างรวดเร็ว ลดการค้นหาบรรจุภัณฑ์ รวมถึงช่วยเรื่องการนับสต็อกให้มีประสิทธิภาพจากความถูกต้องในการนับ 0% เป็น 100% และได้ดำเนินการตัดสต็อกในระบบให้เท่ากับสต็อกที่มีอยู่จริง ซึ่งสามารถช่วยลดความเสี่ยงที่จะโดนปรับได้ ในกรณีที่บรรจุภัณฑ์อยู่นานเกินกำหนด และช่วยเพิ่มประสิทธิภาพในการควบคุมสต็อกบรรจุภัณฑ์ให้ดีมากยิ่งขึ้น
การประเมินคาร์บอนฟุตพริ้นท์ของผลิตภัณฑ์,การศึกษาเรื่องนี้มีวัตถุประสงค์เพื่อประเมินคาร์บอนฟุตพริ้นท์ของผลิตภัณฑ์ ตลอดจนหาแนวทางการลดก๊าซเรือนกระจกให้เหมาะสมกับการทำงานของบริษัท ผู้ศึกษาได้ดำเนินการเก็บรวบรวมข้อมูลโดยการรวบรวมข้อมูลปริมาณการผลิตภัณฑ์ภายในสำนักงาน ปี 2565 จำนวน 7 รายการ ได้แก่ กระดาษ A4 กระดาษชำระม้วนใหญ่ กระดาษชำระม้วนเล็ก กรวยน้ำดื่ม ถุงขยะดำ ขนาด 24x28 ถุงขยะดำ ขนาด 30x40 และถุงขยะดำ ขนาด 40x60 โดยเป็นการประเมินการปล่อยก๊าซเรือนกระจกในรูปแบบของคาร์บอนไดออกไซด์เทียบเท่าต่อหน่วยผลิตภัณฑ์ ตามแนวทางการประเมินคาร์บอนฟุตพริ้นท์ของผลิตภัณฑ์ โดยองค์การบริหารจัดการก๊าซเรือนกระจก (องค์การมหาชน) อ้างอิงวิธีการประมาณการและค่าสัมประสิทธิ์การปล่อยก๊าซเรือนกระจกตาม หลักเกณฑ์ของ IPCC Guidelines for National Greenhouse Gas Inventories (2006)
การศึกษาขั้นตอนการทำงานและการใช้งานระบบ CROAMIS เพื่อสร้างคู่มือประกอบ การปฏิบัติงาน แผนก Operation,"วิจัยนี้มีวัตถุประสงค์ในศึกษาขั้นตอนการทำงาน, ระบบ CROAMIS ซึ่งเป็นระบบการจัดการและจัดส่งสินค้าภายในองค์กรและเอกสารที่เกี่ยวข้องในการขนส่งทางกาศเพื่อสร้างคู่มือประกอบการปฏิบัติงานของฝ่าย Operation ของบริษัท ที่มีขั้นตอนการทำงานร่วมกับผู้มีส่วนได้ส่วนเสียภายนอกองค์กรหลายขั้นตอนและมีการใช้ระบบการสินค้าที่ต้องอาศัยความรู้ความเข้าใจในขั้นสูงในการทำงาน ผู้วิจัยจึงได้ทำการศึกษา รวบรวมข้อมูล และวิเคราะห์กระบวนการทำงานด้วย Flowchart ร่วมกับการอธิบายกระบวนการทำงานร่วมกับทฤษฎีการเรียนรู้ด้านพุทธิพิศัยเพื่อสร้างความรู้และขยายความเข้าใจทั้งภาพรวมและรายละเอียดในการปฏิบัติงานและสามารถเพิ่มประสิทธิภาพในการทำงานโดยใช้เวลาเฉลี่ยในการทำงานลดลง"
การสงวนสิทธิ์และการขอคืนภาษีอากรในการใช้สิทธิ์ภายใต้ขอตกลงการค้าการค้าเสรีไทย-ญี่ปุ่น (JTEPA),งานวิจัย การสงวนสิทธิ์และการขอคืนภาษีอากรในการใช้สิทธิ์การค้าเสรีไทย-ญี่ปุ่น (FTA form JTEPA) มีวัตถุประสงค์เพื่อเพิ่มประสิทธิภาพและศึกษากระบวนการสงวนสิทธิ์และการขอคืนภาษีอากรตามข้อตกลงการค้าเสรี ไทย – ญี่ปุ่น ซึ่งสามารถลดระยะเวลาในการทำงานด้านการขอคืนแต่ละชิปเม้นตั้งแต่กระบวนการแรกถึงกระบวนการสุดท้าย และสามารถลดข้อผิดพลาดของการขอคืนภาษีอากรลดลงได้เหลือไม่เกินร้อยละ10 ของชิปเม้นที่มีการขอคืน FTA form JTEPA ทั้งหมด ผู้จัดทำได้ทำการศึกษากระบวนการสำหรับงานวิจัยในครั้งนี้จากการทำงานจริงในแผนก GS/OSD4-APAC21 ของบริษัทกรณีศึกษา ไปถึงการเก็บรวบรวมข้อมูลจากการสอบถามบุคคลที่เชี่ยวชาญในด้านนี้โดยเฉพาะ ซึ่งจากการศึกษาพบว่า กระบวนการสงวนสิทธิ์และขอคืนอากร FTA Form JTEPA นั้น เป็นกระบวนการที่ไม่ซับซ้อน แต่เน้นให้ความสำคัญในเรื่องของเอกสารที่จะต้องมีความสมบูรณ์ ถูกต้อง และครบถ้วน รวมไปถึงการให้ความสำคัญในเรื่องของการสื่อสารระหว่างทางองค์กรกับชิปปิ้งที่ได้ทำการจ้างวานให้กระทำการแทนบริษัท ตั้งแต่การดำเนินศุลกากรขาเข้า ตลอดไปจนถึงการติดต่อฝ่ายขอคืนขอคืนอากร ซึ่งจะเน้นไปที่ความถูกต้องของเอกสารใบขนขาเข้า เนื่องจากเป็นเอกสารที่สำคัญที่ถือว่าเป็นเอกสารหลักในการขออากรคืน โดยต้องถูกต้อง ตรงกับเอกสารที่เกี่ยวข้อง ไม่ผิดไปแม้แต่จุด ขีด เว้นวรรค หรือเคาะเดียว เพราะจะมีผลที่อาจทำให้เกิดความล่าช้า เพิ่มกระบวนการ หรืออาจทำให้บริษัทไม่อาจขอคืนอากรที่สงวนไว้ได้ ซึ่งหลังจากได้ศึกษากระบวนการสงวนสิทธิ์และขอคืนแล้ว ทำให้เราสามารถเข้าใจในกระบวนการมากขึ้น โดยเข้าใจในรายละเอียดแต่ละขั้นตอน รวมถึงจุดสำคัญในขั้นตอนต่างๆที่จะต้องพึงระวังห้ามให้มีความผิดพลาด และสามารถลดระยะเวลาในการทำงานด้านการขอคืนแต่ละชิปเม้นตั้งแต่กระบวนการแรกตลอดถึงกระบวนการสุดท้าย รวมถึงสามารถลดข้อผิดพลาดของการขอคืนภาษีอากรลดลงได้เหลือเพียงไม่เกินร้อยละ10 ของชิปเม้นที่มีการขอคืน FTA form JTEPA ทั้งหมด ทำให้บริษัทได้รับประโยชน์ในการได้คืนภาษีอากรให้กับบริษัทได้อย่างมีประสิทธิภาพ
ระบบสารสนเทศในการจัดส่ง,งานวิจัยนี้มีวัตถุประสงค์เพื่อเพิ่มประสิทธิภาพกระบวนการดำเนินงานของแผนก Documentation & CSR บริษัทสายเรือกรณีศึกษาแห่งหนึ่งในขั้นตอนการแลกเอกสาร Deliver Order (D/O) แบบปกติและแบบอิเล็กทรอนิกส์ (E-D/O) โดยผู้ทำวิจัยเริ่มต้นด้วยการศึกษาข้อมูลของบริษัทและกระบวนการดำเนินงานของแผนก Documentation & CSR โดยใช้แผนผังงาน (Flow Chart) เพื่อให้สามารถมองเห็นภาพรวมของกระบวนการดำเนินงานในปัจจุบันได้อย่างชัดเจน จากนั้นวิเคราะห์หาสาเหตุของปัญหาที่เกิดขึ้นในกระบวนการดำเนินงานด้วยแผนผังแสดงเหตุและผล (Cause and Effect Diagram) สุดท้ายจึงศึกษาหาแนวทางการพัฒนาปรับปรุงและแก้ไขปัญหาที่เกิดขึ้นในกระบวนการดำเนินงานของแผนก Documentation & CSR โดยนำแนวคิดลีน (Lean Management) และหลักการ ECRS มาประยุกต์ใช้ ซึ่งผลลัพธ์ที่คาดการณ์ว่าจะเกิดขึ้นหลังการปฏิบัติตามแนวทางการพัฒนาปรับปรุงกระบวนการดำเนินงานของแผนก Documentation & CSR คือ สามารถลดระยะเวลาการดำเนินงานในขั้นตอนการตรวจสอบระยะเวลา Free Time Demurrage (DEM) ลงได้ ซึ่งส่งผลต่อเนื่องให้ระยะเวลาโดยรวมของกระบวนการดำเนินงานของแผนก Documentation & CSR ในขั้นตอนการแลกเอกสาร D/O แบบปกติและแบบอิเล็กทรอนิกส์ (E-D/O) ลดลง ในด้านความถูกต้องผู้ทำวิจัยคาดการณ์ว่าจะสามารถลดการเกิดความผิดพลาดในขั้นตอนการตรวจสอบระยะเวลา Free Time Demurrage (DEM) และสามารถลดการเกิดความผิดพลาดในขั้นตอนอื่นลงได้อีกด้วย ส่งผลให้กระบวนการดำเนินงานของแผนก Documentation & CSR ในขั้นตอนการแลกเอกสาร D/O แบบปกติและแบบอิเล็กทรอนิกส์ (E-D/O) มีประสิทธิภาพเพิ่มมากขึ้น สามารถยกระดับการให้บริการแก่ลูกค้าให้ดียิ่งขึ้น
การเพิ่มประสิทธิภาพการดำเนินงานในการจัดการคลังสินค้าสำเร็จรูป,"การวิจัยในครั้งนี้ มีวัตถุประสงค์เพื่อเสนอแนวทางการเพิ่มประสิทธิภาพการดำเนินงานในการจัดการคลังสินค้าสำเร็จรูป และเพื่อปรับเปลี่ยนกระบวนการทำงานภายในคลังสินค้าสำเร็จรูป ที่นำไปสู่การลดระยะเวลาในการทำงานให้สามารถตอบสนองความต้องการของลูกค้าได้อย่างถูกต้องและรวดเร็ว ตลอดจนเพื่อศึกษารูปแบบการจัดเก็บสินค้าภายในคลังสินค้าสำเร็จรูปที่เหมาะสม โดยการศึกษาในครั้งนี้ได้ศึกษาข้อมูลกระบวนการดำเนินงานภายในคลังสินค้าสำเร็จรูปที่บริษัทกรณีศึกษาดำเนินการอยู่ด้วยแผนภูมิการไหล (Flow process chart) รวมถึงรวบรวมข้อมูลการจัดเก็บสินค้า และข้อมูลจากการสัมภาษณ์ผู้ปฏิบัติงานที่เกี่ยวข้อง จากนั้นจึงนำมาวิเคราะห์และทำความเข้าใจถึงปัญหาที่เกิดขึ้นด้วยแผนภาพก้างปลา (Fishbone diagram) ภายหลังการวิเคราะห์พบปัญหาหลัก 2 ปัญหาคือปัญหากระบวนการทำงานของพนักงานมีความซ้ำซ้อนกันและปัญหาภายในคลังสินค้าสำเร็จรูปไม่มีการจัดวางที่เหมาะสม ไม่มีการแบ่งกลุ่มสินค้า ทำให้สินค้าปะปนกัน ด้วยเหตุนี้จึงนำหลัก ECRS ซึ่งเป็นแนวคิดที่นำมาใช้เพื่อปรับปรุงกระบวนการทำงานให้มีประสิทธิภาพ และ นำทฤษฎี ABC Analysis มาทำการจัดกลุ่มความสำคัญของสินค้าเพื่อการวางแผนพื้นที่ในการจัดวางต่อไป จากการศึกษาพบว่า กระบวนการดำเนินงานในปัจจุบันมี 11 ขั้นตอน ภายหลังการเสนอให้ใช้หลัก ECRS ในการวิเคราะห์และปรับปรุงกระบวนการดำเนินงาน พบว่ากระบวนการดำเนินงานภายในคลังสินค้าสำเร็จรูปมีความซ้ำซ้อนกัน โดยมีขั้นตอนกระบวนการดำเนินงานที่สามารถรวมกันได้ 2 ขั้นตอน จัดเรียงลำดับการดำเนินงานใหม่ได้ 1 ขั้นตอน และปรับปรุงกระบวนการดำเนินงานได้ 1 ขั้นตอน นอกจากนี้ผู้วิจัยทำการศึกษาการบริหารการจัดเก็บสินค้าภายในคลังสินค้าสำเร็จรูปและทำการแบ่งกลุ่มสินค้าโดยใช้ทฤษฎี ABC Analysis หรือ การวิเคราะห์จัดกลุ่มด้วยระบบ ABC ตามความถี่ในการเคลื่อนไหวหรือการจัดส่ง พบว่า กลุ่มสินค้า A ที่มีความถี่ในการเคลื่อนไหวหรือการจัดส่งและมีมูลค่ารวมสูงสุด จำนวน 86 รายการ คิดเป็นร้อยละ 65.09 กลุ่มสินค้า B ที่มีความถี่ในการเคลื่อนไหวหรือการจัดส่งรวมปานกลาง จำนวน 118 รายการ คิดเป็นร้อยละ 24.94 และกลุ่มสินค้า C ที่มีความถี่ในการเคลื่อนไหวหรือการจัดส่งรวมน้อยสุด จำนวน 140 รายการ คิดเป็นร้อยละ 9.84 จากนั้นจึงนำข้อมูลการแบ่งกลุ่มสินค้าข้างต้นมาออกแบบคลังสินค้าสำเร็จรูปแบบใหม่ ภายหลังการปรับเปลี่ยนกระบวนการดำเนินงานและปรับรูปแบบการจัดเก็บสินค้าสำเร็จรูปภายในคลังสินค้าแบบใหม่ โดยจัดวางสินค้าตามกลุ่มสินค้าที่แบ่ง A,B และ C อีกทั้งยังมีการจัดเตรียมพื้นที่สำหรับวางพาเลทเปล่า, พื้นที่สำหรับวางสินค้าไม่เต็มพาเลทรวมถึงพื้นที่สำหรับสินค้า Dead Stock ผู้วิจัยได้ทำการสุ่มจับเวลาขั้นตอนในกระบวนการดำเนินงานตั้งแต่ขั้นตอนแรกจนถึงขั้นตอนสุดท้าย โดยผลลัพธ์ระยะเวลาที่ได้คือ สามารถลดระยะเวลาการดำเนินงานทั้งหมดจากเดิมก่อนการปรับปรุง คือ 151.38 นาที และระยะเวลาที่ใช้หลังการปรับปรุงโดยคาดการณ์ คือ 123.61 นาที ส่งผลให้ระยะเวลาในการดำเนินงานลดลง 27.77 นาที หรือคิดเป็นร้อยละ 18.34"
การเปรียบเทียบต้นทุนการขนส่งนำเข้าวัตถุดิบจากประเทศเวียดนาม บริษัทผลิตชิ้นส่วนรถยนต์แห่งหนึ่ง,การศึกษาวิจัยเรื่องการเปรียบเทียบต้นทุนการขนส่งนำเข้าวัตถุดิบจากประเทศเวียดนาม มีวัตถุประสงค์เพื่อศึกษาเปรียบเทียบรูปแบบการขนส่งวัตถุดิบจากประเทศเวียดนาม 2 รูปแบบ คือ การขนส่งสินค้าทางเรือและการขนส่งสินค้าทางรถบรรทุก และเพื่อศึกษาหาแนวทางการแก้ปัญหาค่าใช้จ่ายการนำเข้าวัตถุดิบจากประเทศเวียดนาม การศึกษาครั้งนี้ผู้วิจัยได้ทำการศึกษาในรูปแบบการวิจัยเชิงคุณภาพมีการรวบรวมข้อมูลจากบทความ งานวิจัย และเอกสารจากแหล่งข้อมูลต่าง ๆ และสัมภาษณ์พนักงานที่มีประสบการณ์ในการนำเข้าส่งออก โดยจะทำการเปรียบเทียบค่าใช้จ่ายของการขนส่ง 2 รูปแบบ คือ การขนส่งทางเรือและการขนส่งทางรถบรรทุกด้วยตู้คอนเทนเนอร์ขนาด 40 ฟุต เมื่อนำมาเปรียบเทียบพบว่าค่าใช้จ่ายในการนำเข้าวัตถุดิบในเดือนมกราคม ค.ศ. 2022 จำนวน 3 Shipment มีค่าใช้จ่ายในการนำเข้าทางเรือที่ค่อนข้างสูงกว่าการนำเข้าทางรถบรรทุก เนื่องจากการแพร่ระบาดของโรค โควิด-19 ทำให้เกิดการขาดแคลนตู้คอนเทนเนอร์ ส่งผลให้อัตราค่าระวางเรือ (Freight) มีราคาสูงขึ้น ทำให้บริษัทได้รับผลกระทบโดยตรงจากการนำเข้าวัตถุดิบ จึงได้หาแนวทางแก้ไขเพื่อเป็นลดค่าใช้จ่ายการนำเข้า ดังนั้นการนำเข้าวัตถุดิบจากประเทศเวียดนามช่วงเดือนมกราคม ค.ศ. 2022 ทั้ง 3 Shipment จะทำการนำเข้าทางรถบรรทุกเพราะจากการเปรียบเทียบค่าใช้จ่ายมีราคาที่ถูกกว่าการนำเข้าทางเรือ ส่วนการนำเข้ารอบอื่น ๆ จะใช้การนำเข้าทางเรือปกติเพราะค่าระวางเรือมีแนวโน้มลดลงอย่างต่อเนื่องทำให้ค่าใช้การนำเข้าวัตถุดิบทางเรือลดลงตามไปด้วย
กรณีศึกษาปัจจัยเชิงสาเหตุของความล่าช้าหรือไม่เป็นไปตามแผนการผลิตที่วางไว้,งานวิจัยนี้เป็นการศึกษาเพื่อหาสาเหตุของปัญหาความล่าช้าหรือไม่เป็นไปตามแผนกระบวนการผลิตที่วางไว้ทำให้กระบวนการผลิตไม่ได้ประสิทธิภาพมากพอ กรณีศึกษา โดยมีวัตถุประสงค์เพื่อเสนอแนะหาแนวทางการแก้ไขหรือลดปัญหาความล่าช้าหรือไม่เป็นไปตามแผนการผลิตที่วางไว้ ผู้วิจัยได้ทำการศึกษาและหาแนวทางการแก้ไขปัญหาโดยการศึกษากระบวนการวางแผนการผลิตและสาเหตุของการปรับ-ลดแผนเพื่อนำเป็นวิเคราะห์หาสาเหตุของความล่าช้าหรือไม่เป็นไปตามแผนที่วางไว้ โดยใช้แผนผังก้างปลา และ Why-Why Analysis เป็นเครื่องมือในการศึกษา จากการศึกษาสาเหตุของปัญหาความล่าช้าหรือไม่เป็นไปตามแผนที่วางไว้ด้วยการวิเคราะห์โดยแผนผังก้างปลาทราบว่าสาเหตุที่ส่งผลมากที่สุดคือ วัตถุดิบ (Materials) และ เครื่องจักร (Machine) ในส่วนของวัตถุดิบคือการรอวัตถุดิบที่มาล่าช้าเนื่องจากกำหนดการมีการคลาดเคลื่อนและการสั่งวัตถุดิบผิด ส่วนของเครื่องจักรคือเครื่องจักรเสียบ่อยครั้งและมีการปรับปรุงบำรุงเครื่องจักร ณ ช่วงเวลาที่มีการผลิต ดังนั้นทั้งสองสาเหตุจึงส่งผลทำให้เกิดกระบวนการผลิตมีความล่าช้ากว่าที่ได้วางแผนไว้ ทางผู้วิจัยจึงสรุปข้อเสนอแนะที่ได้จากการวิจัย คือ ฝ่ายบำรุงรักษาควรทำการตรวจสอบเครื่องจักรก่อนฝ่ายผลิตทำการผลิตทุกครั้งเพื่อทำการซ่อมแซมได้ทันหรือใช้เวลาน้อยและมีการปรับตั้งค่าเครื่องจักรให้ถูกต้องเสมอ ส่วนของวัตถุดิบควรทำการวางแผนและตรวจการสั่งซื้อจาก Supplier ให้ถูกต้องเพื่อลดข้อผิดพลาด
การเพิ่มประสิทธิภาพการจัดการคลังวัตถุดิบด้วยเทคโนโลยีบาร์โค้ด,การศึกษาวิจัยนี้มีวัตถุประสงค์ เพื่อศึกษาแนวทางในการพัฒนาและปรับปรุงแก้ไขประสิทธิภาพการจัดการคลังวัตถุดิบด้วยเทคโนโลยีบาร์โค้ด ในกระบวนการรับเข้าวัตถุดิบเพื่อให้การทำงานมีประสิทธิภาพมากขึ้น ผู้ศึกษาได้ทำการสัมภาษณ์ สังเกตุการณ์และลงมือปฏิบัติงานจริง ทำการเก็บรวมรวมข้อมูลขั้นตอนการทำงานและวิเคราะห์หาสาเหตุของปัญหาด้วยแผนผังก้างปลาและเก็บรวมรวมเวลาขั้นตอนการปฏิบัติงาน การวิเคราะห์การปฏิบัติงานใช้เวลาของวิจัยอื่นมาอ้างอิง โดยผลของการปรับปรุงประสิทธิภาพการจัดการคลังวัตถุดิบด้วยเทคโนโลยีบาร์โค้ดพบว่าระยะเวลาการรับวัตถุดิบเข้าโรงงานก่อนปรับปรุงประสิทธิภาพการจัดการจัดการคลังวัตถุดิบโดยใช้ระบบ Manual ใช้ระยะเวลาเฉลี่ยอยู่ที่ 28.69 นาที แต่หลังจากนำระบบ Barcode เข้ามาจะใช้ระยะเวลาการรับวัตถุดิบเข้าโรงงาน ใช้ระยะเวลาเฉลี่ยอยู่ที่ 12.19 ซึ่งระยะเวลาลดลงเฉลี่ย 16.50 นาที ซึ่งจะเห็นได้ว่าการนำเทคโนโลยีบาร์โค้ดเข้ามาใช้นั้น ช่วยลดขั้นตอนกระบวนการทำงานให้สั้นลง ช่วยให้การทำงานเป็นไปได้ง่ายขึ้น ทำให้เกิดความรวดเร็วและช่วยลดเวลาในการปฏิบัติงานลงทำให้สามารถทำงานได้มีประสิทธิภาพมากขึ้น
การจัดคลังสินค้าด้วย Fast-Slow Moving,งานวิจัยเรื่อง การจัดคลังสินค้าด้วย Fast-Slow Moving กรณีศึกษา มีวัตถุประสงค์เพื่อศึกษาการประยุกต์ใช้เทคนิค Fast-Slow Moving ในการปรับปรุงประสิทธิภาพการจัดการคลังสินค้าของ ซึ่งผู้วิจัยได้ศึกษากระบวนการทำงาน ตั้งแต่การรับสินค้าจนถึงกระบวนการหยิบสินค้า และค้นหาสาเหตุของปัญหาโดยการสอบถามพนักงานคลังสินค้าและใช้แผนผังก้างปลาในการวิเคราะห์ปัญหา จากการวิเคราะห์พบว่าปัญหาที่เกิดขึ้นเกิดจากการที่สินค้าถูกจัดเก็บแบบกระจาย สินค้าบางพาร์ทถูกจัดเก็บไว้ใน Location ที่ห่างกัน และเวลาหยิบสินค้าระบบไม่ได้จับที่ FIFO แต่จับตาม Location ทำให้พนักงานต้องขับรถวนหาสินค้าเพื่อที่จะหยิบสินค้าตาม FIFO จึงเกิดความล่าช้าในการหยิบสินค้าและพนักงานทำงานได้ยาก งานวิจัยนี้จึงได้นำหลัก Fast-Slow Moving มาใช้เพื่อเพิ่มประสิทธิภาพคลังสินค้าให้พนักงานสามารถทำงานให้เร็วและง่ายขึ้น โดยการคำนวณหาพื้นที่ที่เหมาะสมในการจัดเก็บให้กับสินค้าแต่ละพาร์ทตามยอดขาย ผลการวิจัยพบว่า การคำนวณหาพื้นที่ที่เหมาะสมในการจัดเก็บใหม่นั้น ทำให้พนักงานสามารถหยิบสินค้าตาม FIFO ได้ง่ายขึ้น เนื่องจากสินค้าถูกจัดวางในพื้นที่บริเวณใกล้เคียงกัน เมื่อพนักงานมาหยิบสินค้าจะสามารถมองเห็นได้ว่าสินค้าชิ้นใดที่เข้ามาก่อน-หลัง ไม่ต้องวนรถเพื่อหา FIFO และยังสามารถลดระยะทางในการเดินทางหยิบสินค้าได้ด้วย นอกจากนี้ยังสามารถลดพื้นที่ที่ใช้ในการจัดเก็บลงได้ จากเดิมต้องใช้พื้นที่ 324 Location ในการจัดเก็บสินค้ากลุ่มนี้ แต่ถ้าหากปรับปรุงจะใช้พื้นที่จัดเก็บเพียง 180 Location ซึ่งสามารถประหยัดพื้นที่ลงได้ 144 Location
หนังสือยินยอมชดใช้ค่าเสียหายกับการส่งมอบสินค้า ณ ท่าเรือปลายทาง โดยปราศจากการเวนคืนต้นฉบับใบตราส่ง,"งานวิจัยนี้เป็นการศึกษาหนังสือยินยอมชดใช้ค่าเสียหาย (LOI) กรณีส่งมอบสินค้า ณ ท่าเรือปลายทางโดยปราศจากการเวนคืนต้นฉบับใบตราส่ง เพื่อทำความเข้าใจลักษณะ ข้อจำกัด และวิเคราะห์ผลทางกฎหมายของเอกสารดังกล่าวและเสนอแนวทางในการปรับปรุงข้อกฎหมายที่เกี่ยวข้องต่อไป โดยทำการศึกษาจากการรวบรวมตัวบทกฎหมาย ข้อมูลจากหนังสือ บทความ และเอกสารที่เกี่ยวข้อง ตลอดจนรายงานการวิจัยของไทยและของต่างประเทศ จากการศึกษาพบว่า ในทางทฤษฎีได้กำหนดให้ผู้รับตราส่งจะต้องนำใบตราส่งไปเวนคืนให้แก่ผู้ขนส่งก่อน ผู้ขนส่งจึงจะยินยอมส่งมอบสินค้าให้แก่ผู้รับตราส่ง แต่ในทางปฏิบัตินั้น ใบตราส่งมักมาถึงมือผู้รับตราส่งล่าช้ากว่าเรือสินค้าด้วยสาเหตุหลายประการ ก่อให้เกิดความเสียหายต่อผู้รับตราส่ง ในปัจจุบัน The International Group of P&I Clubs ได้เล็งเห็นถึงข้อขัดข้องในทางปฏิบัติดังกล่าว จึงได้จัดทำหนังสือยินยอมชดใช้ค่าเสียหาย (LOI) แบบฟอร์มมาตรฐาน (Standard-form Letter of Indemnity) ขึ้น คือ แบบฟอร์มที่ออกโดยผู้ส่งของ และแบบฟอร์มที่ธนาคารเข้ามาเป็นผู้รับรอง แม้ว่าจะมีการใช้หนังสือยินยอมชดใช้ค่าเสียหาย (LOI) กันอย่างแพร่หลาย แต่อนุสัญญาระหว่างประเทศที่เกี่ยวข้องกับการรับขนของทางทะเลในปัจจุบันอันได้แก่ Hague Rules, Hague-Visby Rules และ Hamburg Rules นั้น ไม่ได้มีการบัญญัติถึงผลของ หนังสือยินยอมชดใช้ค่าเสียหาย (LOI)ไว้โดยตรง ไม่ได้ชี้ชัดว่าเป็นสิทธิของผู้รับตราส่ง ทำให้การรับเอกสารประกันแทนใบตราส่งเป็นเพียงความกรุณาของผู้ขนส่งเท่านั้น สำหรับประเทศไทยกฎหมายที่บัญญัติเกี่ยวกับการรับขนทางทะเล คือ พระราชบัญญัติการรับขนของทางทะเล พ.ศ. 2534 ซึ่งได้รับรองสิทธิให้ผู้รับตราส่งสามารถให้ประกันแทนใบตราส่งในการรับสินค้าได้ เพียงแต่ยังขาดรายละเอียดในส่วนของผู้ที่สามารถให้ประกันตามสมควร ซึ่งอาจเป็นช่องว่างทำให้ผู้ขนส่งปฏิเสธการส่งมอบสินค้าได้ ดังนั้นจึงมีการให้ธนาคารเข้ามามีส่วนผูกพันเป็นผู้ร่วมประกันอีกคนหนึ่ง แต่เนื่องด้วยการค้ำประกันระหว่างประเทศมักมีข้อกำหนดให้ธนาคารทำสัญญาค้ำประกันแบบไม่กำหนดระยะเวลา ซึ่งข้อตกลงดังกล่าวขัดกับกฎหมายข้อหนึ่งในประมวลกฎหมายแพ่งและพาณิชย์ ซึ่งกล่าวว่าการออกหนังสือค้ำประกันหนี้ในอนาคตหรือหนี้มีเงื่อนไขต้องระบุระยะเวลาในการก่อหนี้ที่ค้ำประกันไว้ด้วย จึงเป็นข้อสงสัยว่าหากธนาคารได้ชำระหนี้ให้กับเจ้าหนี้เพื่อเป็นการรักษาความน่าเชื่อถือและเป็นการปฏิบัติตามข้อตกลงแล้ว ธนาคารจะมีสิทธิที่จะไล่เบี้ยเอาจากลูกหนี้มากน้อยเพียงใด อย่างไรก็ตาม ธนาคารก็ได้มีการกำหนดเป็นข้อตกลงในการชำระเงินเพื่อป้องกันการชำระหนี้ของผู้รับตราส่งด้วยเช่นกัน"
การศึกษาการจัดการคลังสินค้าบน Selective rack เพื่อเสนอแนวทางเพิ่มให้เกิดประสิทธิภาพสูงสุด,รายงานเรื่อง การศึกษาการจัดการคลังสินค้าบน Selective rack เพื่อเสนอแนวทางเพิ่มให้เกิดประสิทธิภาพสูงสุด กรณีศึกษาบริษัท มีขึ้นเพื่อศึกษารูปแบบของ Selective rack ศึกษาลักษณะของคลังสินค้าที่ใช้งาน Selective rack และเพื่อเสนอแนวทางในการเพิ่มประสิทธิภาพคลังสินค้าของบริษัท เนื่องจากพบปัญหาพื้นที่ภายในคลังไม่เพียงพอต่อการใช้งาน ปัญหาการเคลื่อนย้ายพาเลท (ทั้ง FG และ RM ) บ่อย ๆ ปัญหาการจัดวางพาเลทไม่ให้เนื้องานปะปนกันและเกิดการสับสนในประเภทสินค้าและ LOT การผลิต จากการศึกษาพบว่าวิธีการแก้ปัญหาคือการปรับปรุงชั้นวางให้สามารถเคลื่อนที่ได้แบบ Mobile selective rack ซึ่งจะมีพื้นที่ในการจัดเก็บสินค้าเพิ่มมากขึ้น และยังมีการนำระบบ Automate palate shuttle เข้ามาช่วยในคลังสินค้าด้วย ซึ่งระบบนี้นอกจากจะทำให้เพิ่มพื้นที่ในการจัดเก็บสินค้าแล้ว ยังช่วยลดอุบัติเหตุการเฉี่ยวชนระหว่างรถยกและชั้นวางสินค้าได้อีกด้วย
